Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
3,A1 SH,SHRIMPLIN,2793.0,79.52030429080651,0.6618542527282923,11.188752983227303,12.432976147031642,4.273101231106594,1,1.0
3,A1 SH,SHRIMPLIN,2793.5,83.25623754929953,0.669531272813453,13.483848816400808,12.791519058651774,4.0701177763805605,1,0.9790000000000001
3,A1 SH,SHRIMPLIN,2794.0,78.41892767679354,0.6501641120876426,14.260626367758364,12.56593010262695,3.7903176316082816,1,0.9570000000000001
3,A1 SH,SHRIMPLIN,2794.5,83.03379896559824,0.6667748108687475,14.49287991210316,13.556001399483609,3.690582214813188,1,0.9359999999999999
3,A1 SH,SHRIMPLIN,2795.0,73.25730481198347,0.637198666186461,13.524871968801316,13.138379947714727,3.518984991608074,1,0.915
3,A1 SH,SHRIMPLIN,2795.5,78.03344305945396,0.6489558804191672,14.210497796156336,13.663675680055368,3.5203877371361507,1,0.894
3,A1 SH,SHRIMPLIN,2796.0,72.70124864666776,0.622376752589733,14.872365731829529,13.146999177719463,3.457047971498121,1,0.872
3,A1 SH,SHRIMPLIN,2796.5,77.5020757490372,0.634877010396686,16.535500032536557,14.274866871855755,3.534420818767163,1,0.83
3,A1 SH,SHRIMPLIN,2797.0,73.31623811947631,0.6158763382287669,16.93842632383305,14.237998317600765,3.5008943978927998,1,0.809
3,A1 SH,SHRIMPLIN,2797.5,74.1994648468213,0.6085110661577149,16.286445273508406,13.951030023849299,3.524345437695076,1,0.787
3,A1 SH,SHRIMPLIN,2798.0,73.4302260197686,0.5939495382793104,14.52446757155105,12.963043681418359,3.5604079053897304,1,0.7659999999999999
3,A1 SH,SHRIMPLIN,2798.5,70.08767450992852,0.5718008158933244,12.619556777705647,12.104005028559724,3.5796003641713234,1,0.745
3,A1 SH,SHRIMPLIN,2799.0,83.80021188249334,0.5916587840977272,12.802184168513492,13.866657406906347,3.6414579912607876,1,0.723
3,A1 SH,SHRIMPLIN,2799.5,73.30023940357485,0.5090396308557872,12.481984598039103,13.817835005799756,3.2866759106546053,1,0.7020000000000001
2,A1 SH,SHRIMPLIN,2800.0,91.85626483027359,0.5284908425369694,13.795446874767485,16.699287636666234,3.2557307972106506,1,0.6809999999999999
2,A1 SH,SHRIMPLIN,2800.5,79.68558690940023,0.47107351384477103,12.214267724683905,16.085261639420406,3.098127449007837,1,0.638
2,A1 SH,SHRIMPLIN,2801.0,67.88160866942825,0.43012278946482263,9.902708698911276,15.175654808071892,3.037655195349959,1,0.617
2,A1 SH,SHRIMPLIN,2801.5,62.46522787812804,0.4082152492874813,7.888578833218153,14.937696636774994,2.9763746890315748,1,0.596
2,A1 SH,SHRIMPLIN,2802.0,67.94372183784611,0.4271977817485983,7.4886252297558835,15.846444341634756,2.9934124690877653,1,0.574
2,A1 SH,SHRIMPLIN,2802.5,61.20104805464317,0.3953701437044394,6.676151994312487,15.23344613355802,2.9295349208190054,1,0.5529999999999999
2,A1 SH,SHRIMPLIN,2803.0,48.402304557414304,0.3334633576587337,5.304469679152653,13.862303135989634,2.8376539867861883,1,0.532
2,A1 SH,SHRIMPLIN,2803.5,58.41479676212471,0.3531836291571701,5.755177578266011,14.880201346515195,2.971919537049274,1,0.511
2,A1 SH,SHRIMPLIN,2804.0,71.37788608746966,0.3829100625475202,6.899113489648499,15.977322453525918,3.1030369332584185,1,0.489
2,A1 SH,SHRIMPLIN,2804.5,61.632051525079746,0.3401810248248583,6.551061745967312,14.625696776740387,2.990730407144276,1,0.46799999999999997
2,A1 SH,SHRIMPLIN,2805.0,60.149716763659384,0.3273676781557637,5.819110032331343,14.007502109411245,2.9496381069294437,1,0.447
3,A1 SH,SHRIMPLIN,2805.5,76.24652439522042,0.3734247341473281,5.752362653724078,15.480827012859397,3.0709959027600946,1,0.40399999999999997
3,A1 SH,SHRIMPLIN,2806.0,75.07337378262356,0.3523797437384424,5.5865223423919455,15.192336056530548,2.9995026512240313,1,0.38299999999999995
2,A1 SH,SHRIMPLIN,2806.5,81.8146602769044,0.3495489026993459,8.034595513367261,16.911153320301366,3.0216966265054834,1,0.36200000000000004
2,A1 SH,SHRIMPLIN,2807.0,82.6997652276174,0.32820379488032925,10.879164340853638,19.04824782463048,2.998569973336159,1,0.34
2,A1 SH,SHRIMPLIN,2807.5,97.58262067582952,0.37724670124837273,13.846949830264332,22.299018208175163,3.141492124910701,1,0.319
2,A1 SH,SHRIMPLIN,2808.0,86.87954834945756,0.37284940077198875,13.572718862578801,21.48452676562639,3.1025737807867073,1,0.298
2,A1 SH,SHRIMPLIN,2808.5,82.29807925282614,0.4197812822877198,12.446423171887524,19.632375256363243,3.1428621826525283,1,0.27699999999999997
2,A1 SH,SHRIMPLIN,2809.0,61.71504507021513,0.42590296120821003,10.289172565299497,14.562648588577895,2.999791075424704,1,0.255
3,A1 SH,SHRIMPLIN,2809.5,48.42782344237281,0.4559700291110042,9.915747655257707,9.941708789387045,3.131819072735007,1,0.23399999999999999
3,A1 SH,SHRIMPLIN,2810.0,50.83536095314609,0.5194406085574419,11.247302503861688,8.519779686047617,3.7797960748554074,1,0.213
3,A1 SH,SHRIMPLIN,2810.5,45.6837805687411,0.5016372342845988,11.144743774014014,7.852188969561935,4.180733564248713,1,0.17
3,A1 SH,SHRIMPLIN,2811.0,70.67193113877876,0.5361090378595079,12.463849204690854,11.389614989811664,4.198297431348172,1,0.149
3,A1 SH,SHRIMPLIN,2811.5,95.00792783757508,0.5640491605512571,14.057293116739954,15.882022969165007,3.8631152324621354,1,0.128
3,A1 SH,SHRIMPLIN,2812.0,94.23090651864972,0.5427548147009897,14.456333194381369,17.56202508784805,3.3837069352178863,1,0.106
3,A1 SH,SHRIMPLIN,2812.5,78.70954563626435,0.5208775158651876,14.384131827319594,17.4698411493464,3.077894535409016,1,0.085
3,A1 SH,SHRIMPLIN,2813.0,85.02006501067191,0.5765918380929752,15.999896515815054,18.88442413448511,3.2354025874128496,1,0.064
2,A1 SH,SHRIMPLIN,2813.5,61.452246761878726,0.49546186463824976,15.050436738527928,15.926204966967301,3.0464221910084746,1,0.043
2,A1 SH,SHRIMPLIN,2814.0,70.20207220556583,0.5606652048459896,15.236941817866537,15.536405746200165,3.2713418565127315,1,0.021
8,A1 LM,SHRIMPLIN,2814.5,62.95356655185784,0.6363549725922701,12.476163361904531,12.562148764313145,3.6206082298458018,2,1.0
8,A1 LM,SHRIMPLIN,2815.0,40.675478897612884,0.6760557790582334,8.03091149716725,7.206035379087693,4.104277462858654,2,0.981
8,A1 LM,SHRIMPLIN,2815.5,42.89670900363569,0.7684133218461798,6.07548230305942,5.239263920103989,4.879800451785196,2,0.963
8,A1 LM,SHRIMPLIN,2816.0,51.3532597970144,0.8497015181358235,5.297306926222471,5.044253845250633,5.478409161125453,2,0.9440000000000001
6,A1 LM,SHRIMPLIN,2816.5,56.073618927324915,0.8999909648869865,4.349046636379117,4.6239969545933555,5.565269810334395,2,0.9259999999999999
6,A1 LM,SHRIMPLIN,2817.0,74.4029113204774,0.9912323945668927,4.370060013811616,5.244122328914209,5.516808288140864,2,0.907
6,A1 LM,SHRIMPLIN,2817.5,86.86861095116423,1.0543059618082438,4.641466761478562,5.514036294080051,5.441660013867408,2,0.889
6,A1 LM,SHRIMPLIN,2818.0,85.34665069407329,1.0524516575379077,4.901607998465459,5.275770611220849,5.358238429923525,2,0.87
6,A1 LM,SHRIMPLIN,2818.5,88.80011006690191,1.0606233499820756,6.80190643451456,6.734188604391475,5.45453535335095,2,0.852
6,A1 LM,SHRIMPLIN,2819.0,84.13928830069477,1.0436225093096476,8.809511513207706,8.303912961477932,5.404188764084174,2,0.833
6,A1 LM,SHRIMPLIN,2819.5,60.8005803016076,0.9658065768826484,8.846072044128528,8.195338053022567,4.961150030473466,2,0.7959999999999999
6,A1 LM,SHRIMPLIN,2820.0,54.566612999879936,0.945521686675527,8.119768300873693,9.168924561817388,4.57615553175033,2,0.778
6,A1 LM,SHRIMPLIN,2820.5,42.35183747581436,0.8908358585333274,5.536980258278933,8.249430496949392,4.180976557804757,2,0.759
6,A1 LM,SHRIMPLIN,2821.0,54.02968272561403,0.891651818313957,4.898986364433985,8.641311353792515,4.206618909693715,2,0.741
6,A1 LM,SHRIMPLIN,2821.5,50.68137480976193,0.8126680905921528,5.200884701853485,7.5990656384199875,4.227063046159149,2,0.722
6,A1 LM,SHRIMPLIN,2822.0,56.2372930242824,0.7738192599504884,8.195636718139902,8.991181888759929,4.346305918355355,2,0.7040000000000001
6,A1 LM,SHRIMPLIN,2822.5,52.857553471266755,0.7319863870535371,11.922006812677962,10.635453490834317,4.271774067456129,2,0.685
7,A1 LM,SHRIMPLIN,2823.0,49.79515699435199,0.7095780619813724,15.319365227472346,12.61545354316648,4.107015355800674,2,0.667
7,A1 LM,SHRIMPLIN,2823.5,46.413767117923264,0.683720614694085,16.85456217937089,13.502338437602855,3.8256978828241435,2,0.648
